Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm,Tổng doanh thu,Biên lợi nhuận,Lãi(+) / Lỗ(-) trên 1 sp,Tổng lãi/lỗ,Tỷ lệ chuyển đổi,Áp lực tồn kho,Rating_weighted,Xu hướng,Gợi ý chiến lược
100040011063,Mì Vị Tôm Chua Cay Koreno Up (Thùng 20 gói),Nhu yếu phẩm,Koreno,Việt Nam,118000.0,96000.0,0.19,1340g,360,249,915,4.3,7,4 mùa,1340.0,g,1340.0,,rắn,34560000.0,-0.1864406779661017,-22000.0,-7920000.0,0.39344262295081966,1.4457831325301205,8.941598629223293,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011281,Mì Koreno Jumbo Vị Kim Chi (Thùng 40 gói),Nhu yếu phẩm,Koreno,Việt Nam,1060000.0,884000.0,0.17,4000g,310,408,740,4.9,41,4 mùa,4000.0,g,4000.0,,rắn,274040000.0,-0.1660377358490566,-176000.0,-54560000.0,0.4189189189189189,0.7598039215686274,18.314581129588507,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011067,Mì Koreno Jumbo Vị Kim Chi (Túi 10 gói),Nhu yếu phẩm,Koreno,Việt Nam,107000.0,100000.0,0.07,1000g,310,357,667,4.7,11,4 mùa,1000.0,g,1000.0,,rắn,31000000.0,-0.06542056074766354,-7000.0,-2170000.0,0.46476761619190404,0.8683473389355743,11.679061254003603,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100010011096,Thùng Mì Xào Khô INDOMIE Mix 2 Vị (Đặc Biệt + Cay Nồng) (40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,219000.0,0.26,3280g,625,443,1679,4.5,25,4 mùa,3280.0,g,3280.0,,rắn,136875000.0,-0.2576271186440678,-76000.0,-47500000.0,0.37224538415723646,1.4108352144469527,14.66143442109667,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011107,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,249000.0,0.16,3160g,540,393,1025,4.1,13,4 mùa,3160.0,g,3160.0,,rắn,134460000.0,-0.15593220338983052,-46000.0,-24840000.0,0.526829268292683,1.3740458015267176,10.82013505142256,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011034,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,790g,540,223,1422,4.6,19,4 mùa,790.0,g,790.0,,rắn,42120000.0,-0.13333333333333333,-12000.0,-6480000.0,0.379746835443038,2.42152466367713,13.780368458348358,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100020011108,Mì xào khô INDOMIE Mi Goreng Pedas vị cay nồng (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,395g,540,157,1026,4.3,41,4 mùa,395.0,g,395.0,,rắn,21060000.0,-0.13333333333333333,-6000.0,-3240000.0,0.5263157894736842,3.4394904458598727,16.071979358618485,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011105,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Thùng 40 gói),Nhu yếu phẩm,Indomie,Indonesia,295000.0,214000.0,0.27,3400g,477,314,1114,4.2,37,4 mùa,3400.0,g,3400.0,,rắn,102078000.0,-0.2745762711864407,-81000.0,-38637000.0,0.4281867145421903,1.519108280254777,15.27786187085082,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011030,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 5 gói),Nhu yếu phẩm,Indomie,Indonesia,45000.0,39000.0,0.13,425g,477,325,1294,4.5,21,4 mùa,425.0,g,425.0,,rắn,18603000.0,-0.13333333333333333,-6000.0,-2862000.0,0.3686244204018547,1.4676923076923076,13.909691040112422,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100040011106,Mì xào khô INDOMIE Mi Goreng vị đặc biệt (Combo 10 gói),Nhu yếu phẩm,Indomie,Indonesia,90000.0,78000.0,0.13,850g,477,196,1053,4.6,9,4 mùa,850.0,g,850.0,,rắn,37206000.0,-0.13333333333333333,-12000.0,-5724000.0,0.452991452991453,2.433673469387755,10.59189142777261,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu yếu → khuyến khích combo với thương hiệu mạnh hoặc quảng cáo thêm."
100010010940,Mì Trộn Tô Giấy Hải Sản - Miliket (1 tô),Nhu yếu phẩm,Miliket,Việt Nam,23000.0,18000.0,0.22,105g,924,344,1793,4.2,7,4 mùa,105.0,g,105.0,,rắn,16632000.0,-0.21739130434782608,-5000.0,-4620000.0,0.5153374233128835,2.686046511627907,8.73365447505531,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100010010959,Mì Trộn Tô Giấy Hải Sản - Miliket (Combo 6 tô),Nhu yếu phẩm,Miliket,Việt Nam,138000.0,105000.0,0.24,630g,924,160,2199,4.2,48,4 mùa,630.0,g,630.0,,rắn,97020000.0,-0.2391304347826087,-33000.0,-30492000.0,0.4201909959072306,5.775,16.34564525206463,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010771,"Mì Trộn Mix 3 Vị (Rong Biển, Phô Mai Hàn Quốc, Spaghetti) - Miliket (Thùng 12 tô)",Nhu yếu phẩm,Miliket,Việt Nam,262000.0,205000.0,0.22,1080g,730,145,1620,4.7,45,4 mùa,1080.0,g,1080.0,,rắn,149650000.0,-0.21755725190839695,-57000.0,-41610000.0,0.4506172839506173,5.0344827586206895,17.994614563498747,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010770,"Mì Trộn Mix 3 Vị (Rong Biển, Phô Mai Hàn Quốc, Spaghetti) - Miliket (Combo 3 tô)",Nhu yếu phẩm,Miliket,Việt Nam,60000.0,54000.0,0.1,270g,730,320,2041,4.7,9,4 mùa,270.0,g,270.0,,rắn,39420000.0,-0.1,-6000.0,-4380000.0,0.3576678098971093,2.28125,10.822149937072016,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010738,Mì Trộn Phô Mai Hàn Quốc - Miliket (Combo 6 tô),Nhu yếu phẩm,Miliket,Việt Nam,131000.0,106000.0,0.19,540g,717,267,2047,4.6,13,4 mùa,540.0,g,540.0,,rắn,76002000.0,-0.19083969465648856,-25000.0,-17925000.0,0.35026868588177823,2.6853932584269664,12.139663716230189,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010739,Mì Trộn Phô Mai Hàn Quốc - Miliket (Thùng 12 tô),Nhu yếu phẩm,Miliket,Việt Nam,262000.0,205000.0,0.22,1080g,717,255,1328,4.3,22,4 mùa,1080.0,g,1080.0,,rắn,146985000.0,-0.21755725190839695,-57000.0,-40869000.0,0.5399096385542169,2.8117647058823527,13.482625128495343,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010728,Mì Trộn Phô Mai Hàn Quốc - Miliket (1 Tô),Nhu yếu phẩm,Miliket,Việt Nam,20000.0,18000.0,0.1,90g,717,309,1838,4.2,8,4 mùa,90.0,g,90.0,,rắn,12906000.0,-0.1,-2000.0,-1434000.0,0.3900979325353645,2.320388349514563,9.228343224812123,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010736,Mì Trộn Vị Spaghetti - Miliket (Combo 6 tô),Nhu yếu phẩm,Miliket,Việt Nam,131000.0,106000.0,0.19,540g,215,172,374,4.7,6,4 mùa,540.0,g,540.0,,rắn,22790000.0,-0.19083969465648856,-25000.0,-5375000.0,0.5748663101604278,1.25,9.145777700559973,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010737,Mì Trộn Vị Spaghetti - Miliket (Thùng 12 tô),Nhu yếu phẩm,Miliket,Việt Nam,262000.0,205000.0,0.22,1080g,215,500,556,4.6,30,4 mùa,1080.0,g,1080.0,,rắn,44075000.0,-0.21755725190839695,-57000.0,-12255000.0,0.38669064748201437,0.43,15.796341140631672,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100040010727,Mì Trộn Vị Spaghetti - Miliket (1 tô),Nhu yếu phẩm,Miliket,Việt Nam,20000.0,18000.0,0.1,90g,215,197,619,4.9,43,4 mùa,90.0,g,90.0,,rắn,3870000.0,-0.1,-2000.0,-430000.0,0.3473344103392569,1.0913705583756346,18.54252920619948,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010434,Mắm Chắt A1 (22 Độ Đạm) - Cát Hải (Can 2l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,195000.0,140000.0,0.28,2l,1067,255,1871,4.6,42,4 mùa,2.0,l,,2000.0,lỏng,149380000.0,-0.28205128205128205,-55000.0,-58685000.0,0.5702832709780866,4.184313725490196,17.301520532190384,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010696,Mắm Hạng 1 - Cát Hải (Chai 500ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,29000.0,19000.0,0.34,500ml,1748,435,4111,4.3,5,4 mùa,500.0,ml,,500000.0,lỏng,33212000.0,-0.3448275862068966,-10000.0,-17480000.0,0.42520068109948916,4.0183908045977015,7.704565717680636,Tăng trưởng,"Đề xuất giảm nhẹ giá (5-10%) để tăng thêm doanh số. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010432,Mắm Hạng 1 - Cát Hải (Can 2l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,91000.0,68000.0,0.25,2l,1748,424,3084,4.6,33,4 mùa,2.0,l,,2000.0,lỏng,118864000.0,-0.25274725274725274,-23000.0,-40204000.0,0.5667963683527886,4.122641509433962,16.22125841323434,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010437,Mắm Hạng 1 - Cát Hải (Can 1l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,52000.0,34000.0,0.35,1l,1748,361,4848,4.1,28,4 mùa,1.0,l,,1000.0,lỏng,59432000.0,-0.34615384615384615,-18000.0,-31464000.0,0.36056105610561057,4.842105263157895,13.805912902944543,Tăng trưởng,"Đề xuất giảm nhẹ giá (5-10%) để tăng thêm doanh số. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Sản phẩm nhiều lượt xem nhưng tỷ lệ mua thấp → tối ưu giá, hình ảnh hoặc mô tả. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010984,Mắm Hạng 1 - Cát Hải (Combo can 1l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,120000.0,120000.0,0.0,2l,1748,358,4182,4.7,22,4 mùa,2.0,l,,2000.0,lỏng,209760000.0,0.0,0.0,0.0,0.4179818268770923,4.88268156424581,14.736822814867004,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010955,Mắm Hạng 1 - Cát Hải (Combo can 2l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,220000.0,220000.0,0.0,4l,1748,138,3602,4.3,19,4 mùa,4.0,l,,4000.0,lỏng,384560000.0,0.0,0.0,0.0,0.4852859522487507,12.666666666666666,12.88164877628216,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010407,Mắm Cốt Nhâm Can (17 Độ Đạm) - Cát Hải (Can 2l),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,124000.0,89000.0,0.28,2l,1496,258,4054,4.8,19,4 mùa,2.0,l,,2000.0,lỏng,133144000.0,-0.28225806451612906,-35000.0,-52360000.0,0.36901825357671436,5.7984496124031,14.379514913059156,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Sản phẩm nhiều lượt xem nhưng tỷ lệ mua thấp → tối ưu giá, hình ảnh hoặc mô tả. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010431,Mắm Cốt Nhâm Can (17 Độ Đạm) - Cát Hải (Chai 650ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,59000.0,42000.0,0.29,650ml,1496,270,4143,4.8,50,4 mùa,650.0,ml,,650000.0,lỏng,62832000.0,-0.288135593220339,-17000.0,-25432000.0,0.36109099686217716,5.54074074074074,18.872763037076762,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Sản phẩm nhiều lượt xem nhưng tỷ lệ mua thấp → tối ưu giá, hình ảnh hoặc mô tả. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010985,Mắm Cao Đạm Nhựa (27 Độ Đạm) - Cát Hải (Chai nhựa 700ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,72000.0,52000.0,0.28,700ml,4020,211,7724,4.8,17,4 mùa,700.0,ml,,700000.0,lỏng,209040000.0,-0.2777777777777778,-20000.0,-80400000.0,0.5204557224236147,19.0521327014218,13.87378443790159,Tăng trưởng,"Đề xuất giảm nhẹ giá (5-10%) để tăng thêm doanh số. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010406,Mắm Cao Đạm Nhựa (27 Độ Đạm) - Cát Hải (Combo 2 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,160000.0,160000.0,0.0,1400ml,4020,231,10890,4.7,46,4 mùa,1400.0,ml,,1400000.0,lỏng,643200000.0,0.0,0.0,0.0,0.3691460055096419,17.4025974025974,18.095693728037276,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Sản phẩm nhiều lượt xem nhưng tỷ lệ mua thấp → tối ưu giá, hình ảnh hoặc mô tả. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010405,Mắm Cao Đạm (27 Độ Đạm) - Cát Hải (Chai 500ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,59000.0,40000.0,0.32,500ml,4929,352,10139,4.7,25,4 mùa,500.0,ml,,500000.0,lỏng,197160000.0,-0.3220338983050847,-19000.0,-93651000.0,0.48614261761514943,14.002840909090908,15.313053728700966,Tăng trưởng,"Đề xuất giảm nhẹ giá (5-10%) để tăng thêm doanh số. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010797,Mắm Cao Đạm (27 Độ Đạm) - Cát Hải (Chai thuỷ tinh 650ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,72000.0,52000.0,0.28,650ml,4929,339,11805,4.3,19,4 mùa,650.0,ml,,650000.0,lỏng,256308000.0,-0.2777777777777778,-20000.0,-98580000.0,0.41753494282083864,14.539823008849558,12.88164877628216,Tăng trưởng,"Đề xuất giảm nhẹ giá (5-10%) để tăng thêm doanh số. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010895,Mắm Cao Đạm (27 Độ Đạm) - Cát Hải (Thùng 4 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,288000.0,288000.0,0.0,2600ml,4929,436,8575,4.5,8,4 mùa,2600.0,ml,,2600000.0,lỏng,1419552000.0,0.0,0.0,0.0,0.5748104956268222,11.305045871559633,9.887510598012987,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010433,Mắm Cao Đạm (27 Độ Đạm) - Cát Hải (Combo 2 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,164000.0,164000.0,0.0,1300ml,4929,254,15739,4.6,29,4 mùa,1300.0,ml,,1300000.0,lỏng,808356000.0,0.0,0.0,0.0,0.3131711036279306,19.405511811023622,15.645507955645915,Ổn định,"Giữ nguyên giá, tập trung quảng bá thương hiệu. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Sản phẩm nhiều lượt xem nhưng tỷ lệ mua thấp → tối ưu giá, hình ảnh hoặc mô tả. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010803,Mắm Quẩn (32 Độ Đạm) - Cát Hải (1 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,59000.0,42000.0,0.29,300ml,845,399,2600,4.6,17,4 mùa,300.0,ml,,300000.0,lỏng,35490000.0,-0.288135593220339,-17000.0,-14365000.0,0.325,2.117794486215539,13.295710086322355,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010404,Mắm Quẩn (32 Độ Đạm) - Cát Hải (Combo 3 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,195000.0,176000.0,0.1,900ml,845,171,2681,4.4,6,4 mùa,900.0,ml,,900000.0,lỏng,148720000.0,-0.09743589743589744,-19000.0,-16055000.0,0.3151809026482656,4.941520467836257,8.56200465584338,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010403,Mắm Ông Sao (40 Độ Đạm) - Cát Hải (1 chai),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,117000.0,84000.0,0.28,370ml,332,149,1081,4.5,23,4 mùa,370.0,ml,,370000.0,lỏng,27888000.0,-0.28205128205128205,-33000.0,-10956000.0,0.3071230342275671,2.228187919463087,14.301242236565756,Giảm sút,"Giảm giá không hiệu quả, xem xét thu hẹp hoặc thay đổi sản phẩm. Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Ít đánh giá tích cực → khuyến khích khách hàng để lại review. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010401,Mắm Cát Hải (50 Độ Đạm) (Chai 60ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,26000.0,17000.0,0.35,60ml,695,137,1797,4.8,40,4 mùa,60.0,ml,,60000.0,lỏng,11815000.0,-0.34615384615384615,-9000.0,-6255000.0,0.3867557039510295,5.072992700729927,17.825145920180677,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010402,Mắm Cát Hải (50 Độ Đạm) (Chai 260ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,117000.0,84000.0,0.28,260ml,695,113,2015,4.6,26,4 mùa,260.0,ml,,260000.0,lỏng,58380000.0,-0.28205128205128205,-33000.0,-22935000.0,0.34491315136476425,6.150442477876106,15.160849583619912,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
100030010400,Mắm Cá Hồi (28 Đạm) - Cát Hải (Chai 380ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,234000.0,154000.0,0.34,380ml,863,485,1778,4.3,36,4 mùa,380.0,ml,,380000.0,lỏng,132902000.0,-0.3418803418803419,-80000.0,-69040000.0,0.48537682789651293,1.779381443298969,15.526947024370164,Không rõ,"Có thể quảng bá quanh năm, ưu tiên chiến dịch dài hạn. Nguy cơ thiếu hàng → cần nhập thêm hoặc giảm quảng cáo. Thương hiệu mạnh → ra mắt sản phẩm mới hoặc giữ giá."
